,total time,count,normalized total time,normalized count
Non-verbal scaffolding:cognitive,16.72,22,0.03875124574130298,0.05098848123855656
Non-verbal scaffolding:technical,3.24,4,0.007509212691496512,0.009270632952464828
Parent affect:positive 1,40.56,11,0.09400421813799337,0.02549424061927828
Parent affect:positive 2,37.6,8,0.0871439497531694,0.018541265904929657
Parent affect:positive 3,16.240000000000002,4,0.03763876978700721,0.009270632952464828
Parent affective touch:affective touch,1.8,2,0.004171784828609173,0.004635316476232414
Parent gaze:child,92.79999999999998,46,0.21507868449718398,0.10661227895334553
Parent gaze:props,132.19999999999996,32,0.30639441907896253,0.07416506361971863
Parent gaze:robot,33.56,27,0.07778061047117991,0.06257677242913759
Parent gaze:robot or prop,2.16,2,0.005006141794331008,0.004635316476232414
Parent gesture:other,0.8,1,0.001854126590492966,0.002317658238116207
Parent gesture:point at prop,18.740000000000002,24,0.04343291538229773,0.055623797714788974
Parent prop manipulation:parent,13.04,5,0.03022226342503534,0.011588291190581036
Parent utterance:other vocalization,0.54,1,0.001251535448582752,0.002317658238116207
Parent utterance:utterance,92.60000000000001,79,0.21461515284956081,0.18309500081118038
Verbal scaffolding:affective,9.38,8,0.021739634273530026,0.018541265904929657
Verbal scaffolding:cognitive,54.11999999999999,47,0.12543166384684912,0.10892993719146174
Verbal scaffolding:instruction translation,0.86,1,0.0019931860847799384,0.002317658238116207
robot pointing:point at prop,29.169999999999998,14,0.06760609080584976,0.0324472153336269
robot text:correction,6.957,3,0.016123948362574452,0.006952974714348622
robot text:other,8.258,4,0.01913922173036364,0.009270632952464828
robot text:pick up,16.402,7,0.038014230421582036,0.01622360766681345
robot text:positive feedback,14.243,5,0.03301040628548914,0.011588291190581036
robot text:put down,31.07,13,0.07200964145827056,0.030129557095510694
robot text:song,40.64,1,0.09418963079704266,0.002317658238116207
robot text:teach,15.824,9,0.036674623959950865,0.020858924143045864
robot text:try again,6.667999999999999,4,0.015454145131758868,0.009270632952464828
start-end:end,0.28,1,0.0006489443066725381,0.002317658238116207
start-end:start,0.2,1,0.0004635316476232415,0.002317658238116207
