"","...1","age","university","housing","duration","contact","marital","previous","y"
"189",189,49,"no","no",252,"telephone","married",0,"no"
"190",190,34,"yes","yes",138,"telephone","married",0,"no"
"191",191,41,"no","no",412,"telephone","married",0,"no"
"192",192,38,"no","yes",179,"telephone","single",0,"no"
"193",193,45,"yes","no",19,"telephone","divorced",0,"no"
"194",194,42,"yes","no",228,"telephone","married",0,"no"
"195",195,34,"no","yes",55,"telephone","single",0,"no"
"196",196,48,"no","yes",717,"telephone","married",0,"no"
"197",197,37,"no","yes",313,"telephone","married",0,"no"
"198",198,34,"no","no",289,"telephone","single",0,"no"
"199",199,40,"no","yes",683,"telephone","married",0,"no"
"200",200,43,"no","yes",1077,"telephone","married",0,"no"
"201",201,33,"no","no",146,"telephone","married",0,"no"
"202",202,32,"no","no",167,"telephone","single",0,"no"
"203",203,39,"no","yes",356,"telephone","married",0,"no"
"204",204,43,"no","no",277,"telephone","married",0,"no"
"205",205,44,"no","yes",172,"telephone","married",0,"no"
"206",206,35,"yes","no",218,"telephone","single",0,"no"
"207",207,35,"yes","yes",217,"telephone","single",0,"no"
"208",208,35,"no","no",67,"telephone","married",0,"no"
"209",209,36,"no","no",291,"telephone","single",0,"no"
"210",210,35,"yes","yes",248,"telephone","single",0,"no"
"211",211,36,"no","yes",256,"telephone","single",0,"no"
"212",212,55,"yes","no",286,"telephone","divorced",0,"no"
"213",213,59,"yes","no",477,"telephone","married",0,"no"
"214",214,57,"no","no",611,"telephone","married",0,"no"
"215",215,39,"no","yes",471,"telephone","married",0,"no"
"216",216,39,"no","yes",381,"telephone","married",0,"no"
"217",217,30,"no","yes",251,"telephone","single",0,"no"
"218",218,30,"no","yes",408,"telephone","single",0,"no"
"219",219,50,"no","no",287,"telephone","married",0,"no"
"220",220,40,"no","no",322,"telephone","married",0,"no"
"221",221,35,"no","yes",216,"telephone","married",0,"no"
"222",222,43,"no","no",366,"telephone","married",0,"no"
"223",223,36,"no","yes",210,"telephone","single",0,"no"
"224",224,46,"no","yes",288,"telephone","married",0,"no"
"225",225,40,"no","no",168,"telephone","married",0,"no"
"226",226,58,"yes","no",132,"telephone","married",0,"no"
"227",227,42,"yes","no",64,"telephone","married",0,"no"
"228",228,35,"yes","no",209,"telephone","single",0,"no"
"229",229,43,"no","no",410,"telephone","married",0,"no"
"230",230,45,"no","yes",177,"telephone","married",0,"no"
"231",231,39,"no","yes",580,"telephone","married",0,"no"
"232",232,50,"no","yes",165,"telephone","divorced",0,"no"
"233",233,32,"no","yes",127,"telephone","divorced",0,"no"
"234",234,39,"no","no",357,"telephone","married",0,"no"
"235",235,52,"yes","no",175,"telephone","married",0,"no"
"236",236,44,"no","yes",300,"telephone","married",0,"no"
"237",237,56,"no","no",136,"telephone","married",0,"no"
"238",238,48,"no","no",125,"telephone","married",0,"no"
"239",239,33,"no","no",189,"telephone","married",0,"no"
"240",240,43,"yes","no",213,"telephone","married",0,"no"
"241",241,57,"no","no",238,"telephone","married",0,"no"
"242",242,36,"no","no",124,"telephone","single",0,"no"
"243",243,34,"yes","yes",18,"telephone","married",0,"no"
"244",244,34,"no","no",730,"telephone","single",0,"no"
"245",245,30,"yes","no",40,"telephone","married",0,"no"
"246",246,33,"no","no",181,"telephone","divorced",0,"no"
"247",247,32,"no","no",79,"telephone","single",0,"no"
"248",248,36,"no","yes",142,"telephone","single",0,"no"
"249",249,36,"no","no",389,"telephone","single",0,"no"
"250",250,33,"no","no",702,"telephone","single",0,"no"
"251",251,40,"no","no",151,"telephone","divorced",0,"no"
"252",252,41,"no","yes",211,"telephone","married",0,"no"
"253",253,51,"no","yes",117,"telephone","married",0,"no"
"254",254,36,"no","yes",232,"telephone","married",0,"no"
"255",255,28,"no","no",408,"telephone","married",0,"no"
"256",256,53,"no","yes",370,"telephone","married",0,"no"
"257",257,58,"no","yes",179,"telephone","married",0,"no"
"258",258,45,"no","no",46,"telephone","married",0,"no"
"259",259,43,"no","yes",200,"telephone","married",0,"no"
"260",260,33,"no","no",50,"telephone","married",0,"no"
"261",261,33,"no","no",181,"telephone","married",0,"no"
"262",262,27,"no","no",119,"telephone","single",0,"no"
"263",263,42,"no","no",361,"telephone","married",0,"no"
"264",264,43,"no","no",73,"telephone","divorced",0,"no"
"265",265,42,"yes","no",67,"telephone","married",0,"no"
"266",266,27,"no","no",350,"telephone","single",0,"no"
"267",267,34,"yes","yes",150,"telephone","single",0,"no"
"268",268,31,"yes","no",332,"telephone","single",0,"no"
"269",269,54,"yes","no",611,"telephone","divorced",0,"no"
"270",270,40,"no","no",58,"telephone","married",0,"no"
"271",271,52,"no","yes",151,"telephone","married",0,"no"
"272",272,47,"yes","no",89,"telephone","divorced",0,"no"
"273",273,49,"no","no",152,"telephone","married",0,"no"
"274",274,32,"no","no",611,"telephone","single",0,"no"
"275",275,49,"no","yes",110,"telephone","single",0,"no"
"276",276,50,"no","no",463,"telephone","married",0,"no"
"277",277,34,"no","no",962,"telephone","married",0,"no"
"278",278,55,"no","no",102,"telephone","married",0,"no"
"279",279,47,"no","no",10,"telephone","single",0,"no"
"280",280,51,"no","no",118,"telephone","married",0,"no"
"281",281,47,"no","no",92,"telephone","married",0,"no"
"282",282,56,"no","yes",143,"telephone","married",0,"no"
"283",283,53,"no","no",189,"telephone","married",0,"no"
"284",284,36,"no","yes",75,"telephone","married",0,"no"
"285",285,42,"no","yes",189,"telephone","divorced",0,"no"
"286",286,44,"no","no",55,"telephone","divorced",0,"no"
"287",287,39,"no","yes",935,"telephone","married",0,"yes"
"288",288,37,"no","yes",56,"telephone","single",0,"no"
"289",289,60,"no","yes",5,"telephone","married",0,"no"
"290",290,36,"no","no",225,"telephone","married",0,"no"
"291",291,42,"yes","yes",125,"telephone","divorced",0,"no"
"292",292,31,"no","yes",286,"telephone","married",0,"no"
"293",293,53,"no","no",206,"telephone","divorced",0,"no"
"294",294,45,"no","yes",164,"telephone","married",0,"no"
"295",295,37,"no","yes",98,"telephone","single",0,"no"
"296",296,47,"no","no",446,"telephone","married",0,"no"
"297",297,49,"no","no",742,"telephone","divorced",0,"no"
"298",298,36,"yes","yes",120,"telephone","married",0,"no"
"299",299,35,"no","no",122,"telephone","divorced",0,"no"
"300",300,38,"no","no",362,"telephone","married",0,"no"
"301",301,38,"no","no",357,"telephone","single",0,"no"
"302",302,50,"no","no",200,"telephone","divorced",0,"no"
"303",303,59,"no","no",107,"telephone","married",0,"no"
"304",304,43,"no","yes",267,"telephone","married",0,"no"
"305",305,42,"no","yes",248,"telephone","married",0,"no"
"306",306,40,"no","yes",215,"telephone","married",0,"no"
"307",307,46,"no","no",209,"telephone","married",0,"no"
"308",308,57,"no","yes",205,"telephone","divorced",0,"no"
"309",309,42,"yes","yes",261,"telephone","married",0,"no"
"310",310,41,"no","yes",83,"telephone","married",0,"no"
"311",311,54,"yes","yes",106,"telephone","divorced",0,"no"
"312",312,27,"yes","no",106,"telephone","single",0,"no"
"313",313,36,"no","no",108,"telephone","married",0,"no"
"314",314,58,"no","yes",214,"telephone","married",0,"no"
"315",315,40,"yes","yes",358,"telephone","married",0,"no"
"316",316,34,"no","no",453,"telephone","single",0,"no"
"317",317,33,"no","no",364,"telephone","divorced",0,"no"
"318",318,56,"no","no",136,"telephone","married",0,"no"
"319",319,42,"no","no",173,"telephone","married",0,"no"
"320",320,43,"no","yes",241,"telephone","married",0,"no"
"321",321,54,"no","yes",224,"telephone","single",0,"no"
"322",322,53,"no","yes",148,"telephone","single",0,"no"
"323",323,42,"no","no",230,"telephone","single",0,"no"
"324",324,40,"no","no",199,"telephone","married",0,"no"
"325",325,54,"no","yes",196,"telephone","married",0,"no"
"326",326,40,"no","no",111,"telephone","single",0,"no"
"327",327,26,"yes","yes",231,"telephone","single",0,"no"
"328",328,33,"no","no",316,"telephone","married",0,"no"
"329",329,35,"no","no",240,"telephone","married",0,"no"
"330",330,36,"no","no",669,"telephone","married",0,"no"
"331",331,29,"no","yes",425,"telephone","single",0,"no"
"332",332,36,"no","yes",121,"telephone","married",0,"no"
"333",333,35,"no","yes",174,"telephone","married",0,"no"
"334",334,50,"yes","no",88,"telephone","single",0,"no"
"335",335,46,"no","yes",313,"telephone","married",0,"no"
"336",336,49,"no","yes",135,"telephone","married",0,"no"
"337",337,42,"no","yes",152,"telephone","single",0,"no"
"338",338,36,"no","yes",402,"telephone","single",0,"no"
"339",339,55,"no","yes",221,"telephone","married",0,"no"
"340",340,41,"yes","no",213,"telephone","married",0,"no"
"341",341,57,"no","yes",144,"telephone","married",0,"no"
"342",342,32,"no","yes",158,"telephone","single",0,"no"
"343",343,49,"no","no",220,"telephone","married",0,"no"
"344",344,57,"no","yes",325,"telephone","married",0,"no"
"345",345,58,"no","yes",254,"telephone","divorced",0,"no"
"346",346,52,"no","yes",503,"telephone","married",0,"no"
"347",347,50,"no","no",680,"telephone","divorced",0,"no"
"348",348,41,"no","yes",421,"telephone","single",0,"no"
"349",349,33,"yes","yes",130,"telephone","married",0,"no"
"350",350,57,"no","no",164,"telephone","married",0,"no"
"351",351,48,"no","no",174,"telephone","married",0,"no"
"352",352,55,"no","no",113,"telephone","married",0,"no"
"353",353,38,"yes","no",195,"telephone","married",0,"no"
"354",354,38,"no","yes",347,"telephone","married",0,"no"
"355",355,53,"yes","yes",208,"telephone","married",0,"no"
"356",356,43,"yes","no",404,"telephone","single",0,"no"
"357",357,36,"no","no",396,"telephone","single",0,"no"
"358",358,32,"no","no",98,"telephone","married",0,"no"
"359",359,33,"no","no",229,"telephone","married",0,"no"
"360",360,58,"no","yes",350,"telephone","married",0,"no"
"361",361,40,"no","no",88,"telephone","divorced",0,"no"
"362",362,57,"yes","yes",379,"telephone","married",0,"no"
"363",363,45,"no","yes",168,"telephone","married",0,"no"
"364",364,42,"no","yes",190,"telephone","married",0,"no"
"365",365,46,"yes","yes",158,"telephone","married",0,"no"
"366",366,36,"yes","no",210,"telephone","married",0,"no"
"367",367,41,"no","yes",102,"telephone","married",0,"no"
"368",368,57,"no","no",306,"telephone","divorced",0,"no"
"369",369,49,"no","yes",64,"telephone","married",0,"no"
"370",370,56,"no","no",218,"telephone","divorced",0,"no"
"371",371,37,"no","no",77,"telephone","married",0,"no"
"372",372,37,"no","no",54,"telephone","married",0,"no"
"373",373,46,"no","yes",344,"telephone","single",0,"no"
"374",374,22,"no","yes",195,"telephone","single",0,"no"
"375",375,43,"no","no",202,"telephone","married",0,"no"
"376",376,49,"no","no",286,"telephone","married",0,"no"
"377",377,41,"no","yes",278,"telephone","married",0,"no"
"378",378,38,"yes","no",189,"telephone","single",0,"no"
"379",379,33,"no","no",83,"telephone","married",0,"no"
"380",380,49,"yes","yes",18,"telephone","married",0,"no"
"381",381,30,"no","no",184,"telephone","single",0,"no"
"382",382,33,"no","yes",235,"telephone","married",0,"no"
"383",383,34,"yes","no",290,"telephone","single",0,"no"
"384",384,30,"no","no",133,"telephone","single",0,"no"
"385",385,59,"no","yes",318,"telephone","married",0,"no"
"386",386,59,"no","no",437,"telephone","married",0,"no"
"387",387,41,"yes","no",402,"telephone","married",0,"no"
"388",388,48,"no","yes",501,"telephone","married",0,"no"
"389",389,28,"no","yes",1201,"telephone","single",0,"yes"
"390",390,44,"no","yes",1030,"telephone","married",0,"yes"
"391",391,59,"yes","no",253,"telephone","single",0,"no"
"392",392,50,"no","no",149,"telephone","married",0,"no"
"393",393,35,"yes","no",144,"telephone","married",0,"no"
"394",394,42,"no","no",69,"telephone","married",0,"no"
"395",395,45,"no","no",243,"telephone","married",0,"no"
"396",396,36,"no","no",769,"telephone","married",0,"no"
"397",397,56,"no","no",135,"telephone","married",0,"no"
"398",398,29,"no","no",231,"telephone","divorced",0,"no"
"399",399,41,"yes","yes",442,"telephone","married",0,"no"
"400",400,42,"no","no",199,"telephone","married",0,"no"
"401",401,52,"no","no",455,"telephone","single",0,"no"
"402",402,48,"no","no",152,"telephone","married",0,"no"
"403",403,31,"no","yes",124,"telephone","married",0,"no"
"404",404,43,"yes","yes",424,"telephone","married",0,"no"
"405",405,36,"no","no",43,"telephone","married",0,"no"
"406",406,42,"yes","yes",154,"telephone","married",0,"no"
"407",407,52,"no","no",393,"telephone","divorced",0,"no"
"408",408,39,"no","yes",203,"telephone","married",0,"no"
"409",409,36,"no","no",140,"telephone","married",0,"no"
"410",410,42,"no","yes",326,"telephone","married",0,"no"
"411",411,41,"no","no",483,"telephone","married",0,"no"
"412",412,55,"no","no",259,"telephone","married",0,"no"
"413",413,30,"no","no",227,"telephone","married",0,"no"
"414",414,57,"no","no",673,"telephone","single",0,"no"
"415",415,45,"no","yes",576,"telephone","married",0,"no"
"416",416,51,"no","yes",180,"telephone","married",0,"no"
"417",417,39,"no","yes",90,"telephone","single",0,"no"
"418",418,47,"no","no",505,"telephone","married",0,"no"
"419",419,27,"no","yes",245,"telephone","married",0,"no"
"420",420,34,"yes","yes",186,"telephone","single",0,"no"
"421",421,57,"no","yes",208,"telephone","married",0,"no"
"422",422,43,"no","no",623,"telephone","married",0,"no"
"423",423,49,"no","no",180,"telephone","married",0,"no"
"424",424,39,"yes","no",496,"telephone","married",0,"no"
"425",425,38,"no","yes",118,"telephone","married",0,"no"
"426",426,49,"no","no",102,"telephone","married",0,"no"
"427",427,58,"no","no",342,"telephone","married",0,"no"
"428",428,43,"no","yes",225,"telephone","married",0,"no"
"429",429,50,"no","yes",185,"telephone","married",0,"no"
"430",430,31,"no","no",276,"telephone","married",0,"no"
"431",431,43,"yes","no",87,"telephone","divorced",0,"no"
"432",432,43,"no","no",744,"telephone","married",0,"no"
"433",433,30,"yes","yes",262,"telephone","single",0,"no"
"434",434,27,"no","yes",271,"telephone","single",0,"no"
"435",435,51,"no","no",141,"telephone","married",0,"no"
"436",436,37,"no","yes",198,"telephone","married",0,"no"
"437",437,46,"no","yes",150,"telephone","married",0,"no"
"438",438,35,"no","no",241,"telephone","married",0,"no"
"439",439,47,"yes","no",196,"telephone","divorced",0,"no"
"440",440,46,"no","yes",149,"telephone","married",0,"no"
"441",441,40,"no","no",264,"telephone","married",0,"no"
"442",442,26,"yes","no",246,"telephone","married",0,"no"
"443",443,32,"no","no",309,"telephone","divorced",0,"no"
"444",444,45,"yes","yes",140,"telephone","married",0,"no"
"445",445,34,"no","no",175,"telephone","married",0,"no"
"446",446,47,"no","no",136,"telephone","married",0,"no"
"447",447,42,"no","no",1623,"telephone","married",0,"yes"
"448",448,57,"no","no",50,"telephone","married",0,"no"
"449",449,57,"no","no",101,"telephone","married",0,"no"
"450",450,38,"no","no",144,"telephone","married",0,"no"
"451",451,57,"no","no",238,"telephone","married",0,"no"
"452",452,28,"no","yes",354,"telephone","single",0,"no"
"453",453,60,"yes","no",451,"telephone","married",0,"no"
"454",454,48,"yes","yes",159,"telephone","married",0,"no"
"455",455,47,"no","yes",170,"telephone","married",0,"no"
"456",456,40,"no","no",243,"telephone","married",0,"no"
"457",457,51,"no","yes",141,"telephone","married",0,"no"
"458",458,48,"no","yes",112,"telephone","single",0,"no"
"459",459,54,"no","no",262,"telephone","married",0,"no"
"460",460,40,"no","no",53,"telephone","married",0,"no"
"461",461,44,"no","no",134,"telephone","single",0,"no"
"462",462,42,"no","no",204,"telephone","divorced",0,"no"
"463",463,52,"yes","yes",678,"telephone","married",0,"no"
"464",464,31,"no","yes",182,"telephone","single",0,"no"
"465",465,32,"no","no",162,"telephone","married",0,"no"
"466",466,44,"no","yes",177,"telephone","married",0,"no"
"467",467,39,"no","no",27,"telephone","married",0,"no"
"468",468,57,"no","yes",699,"telephone","married",0,"no"
"469",469,52,"no","yes",358,"telephone","married",0,"no"
"470",470,42,"yes","no",1677,"telephone","married",0,"yes"
"471",471,42,"no","no",529,"telephone","single",0,"no"
"472",472,43,"no","yes",310,"telephone","married",0,"no"
"473",473,31,"no","no",47,"telephone","divorced",0,"no"
"474",474,29,"yes","yes",379,"telephone","married",0,"no"
"475",475,57,"no","no",30,"telephone","divorced",0,"no"
"476",476,44,"no","no",472,"telephone","married",0,"no"
"477",477,59,"no","no",113,"telephone","married",0,"no"
"478",478,39,"no","no",114,"telephone","married",0,"no"
"479",479,57,"yes","no",116,"telephone","married",0,"no"
"480",480,41,"no","no",448,"telephone","married",0,"no"
"481",481,37,"no","no",264,"telephone","single",0,"no"
"482",482,38,"no","yes",169,"telephone","married",0,"no"
"483",483,42,"no","no",145,"telephone","married",0,"no"
"484",484,49,"no","yes",288,"telephone","married",0,"no"
"485",485,54,"no","yes",381,"telephone","married",0,"no"
"486",486,36,"yes","no",176,"telephone","married",0,"no"
"487",487,32,"yes","no",215,"telephone","single",0,"no"
"488",488,35,"no","yes",278,"telephone","married",0,"no"
"489",489,45,"no","no",188,"telephone","married",0,"no"
"490",490,56,"no","yes",174,"telephone","married",0,"no"
"491",491,34,"yes","yes",226,"telephone","married",0,"no"
"492",492,41,"no","no",111,"telephone","married",0,"no"
"493",493,41,"no","no",157,"telephone","married",0,"no"
"494",494,36,"no","no",46,"telephone","married",0,"no"
"495",495,32,"yes","no",49,"telephone","single",0,"no"
"496",496,31,"no","no",374,"telephone","married",0,"no"
"497",497,38,"no","yes",349,"telephone","married",0,"no"
"498",498,35,"yes","yes",325,"telephone","divorced",0,"no"
"499",499,53,"no","yes",233,"telephone","married",0,"no"
